"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"electropop, pop, pop rap","https://api.spotify.com/v1/artists/1ShZZUjkbXCjhwrb18BA8I","1ShZZUjkbXCjhwrb18BA8I","Bryce Vine",72,"artist","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","https://open.spotify.com/artist/1ShZZUjkbXCjhwrb18BA8I",NA,445229,"short",1,1,"Eve"
"electropop, indie pop rap, pop, pop rap","https://api.spotify.com/v1/artists/3ApUX1o6oSz321MMECyIYd","3ApUX1o6oSz321MMECyIYd","Quinn XCII",74,"artist","spotify:artist:3ApUX1o6oSz321MMECyIYd","https://open.spotify.com/artist/3ApUX1o6oSz321MMECyIYd",NA,689577,"short",1,2,"Eve"
"hip hop, pop rap, rap","https://api.spotify.com/v1/artists/6fOMl44jA4Sp5b9PpYCkzz","6fOMl44jA4Sp5b9PpYCkzz","NF",84,"artist","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz",NA,6769936,"short",1,3,"Eve"
"hip hop, pop, portland hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ","3Gm5F95VdRxW3mqCn8RPBJ","Aminé",76,"artist","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ",NA,1751922,"short",1,4,"Eve"
"conscious hip hop, hip hop, north carolina hip hop, rap","https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5","6l3HvQ5sa6mXTsMTB19rO5","J. Cole",90,"artist","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5",NA,16123853,"short",1,5,"Eve"
"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,14678386,"short",1,6,"Eve"
"conscious hip hop, dmv rap, hip hop, pop rap, rap","https://api.spotify.com/v1/artists/4xRYI6VqpkE3UwrDrAZL8L","4xRYI6VqpkE3UwrDrAZL8L","Logic",82,"artist","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L",NA,5653616,"short",1,7,"Eve"
"dfw rap, melodic rap, rap","https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60","246dkjvS1zLTtiykXe5h60","Post Malone",91,"artist","spotify:artist:246dkjvS1zLTtiykXe5h60","https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60",NA,36196019,"short",1,8,"Eve"
"broadway, hollywood, show tunes","https://api.spotify.com/v1/artists/0bvwPCit9Yh0yVdLKGnXRi","0bvwPCit9Yh0yVdLKGnXRi","Adam Pascal",56,"artist","spotify:artist:0bvwPCit9Yh0yVdLKGnXRi","https://open.spotify.com/artist/0bvwPCit9Yh0yVdLKGnXRi",NA,15868,"short",1,9,"Eve"
"atl hip hop, hip hop, psychedelic hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/5MbNzCW3qokGyoo9giHA3V","5MbNzCW3qokGyoo9giHA3V","EARTHGANG",74,"artist","spotify:artist:5MbNzCW3qokGyoo9giHA3V","https://open.spotify.com/artist/5MbNzCW3qokGyoo9giHA3V",NA,677043,"short",1,10,"Eve"
"hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/2AfU5LYBVCiCtuCCfM7uVX","2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend",69,"artist","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","https://open.spotify.com/artist/2AfU5LYBVCiCtuCCfM7uVX",NA,513768,"short",1,11,"Eve"
"alternative r&b, chicago rap, chill r&b, pop, pop rap","https://api.spotify.com/v1/artists/4T8NIfZmVY6TJFqVzN6X49","4T8NIfZmVY6TJFqVzN6X49","tobi lou",66,"artist","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","https://open.spotify.com/artist/4T8NIfZmVY6TJFqVzN6X49",NA,329048,"short",1,12,"Eve"
"broadway, hollywood, show tunes","https://api.spotify.com/v1/artists/2I5SzHTskqEe8LJl4IvwnT","2I5SzHTskqEe8LJl4IvwnT","Sherie Rene Scott",38,"artist","spotify:artist:2I5SzHTskqEe8LJl4IvwnT","https://open.spotify.com/artist/2I5SzHTskqEe8LJl4IvwnT",NA,8607,"short",1,13,"Eve"
"neo soul, r&b, urban contemporary","https://api.spotify.com/v1/artists/2xDc4cU0Rj6YG8SrmAHIy0","2xDc4cU0Rj6YG8SrmAHIy0","Heather Headley",48,"artist","spotify:artist:2xDc4cU0Rj6YG8SrmAHIy0","https://open.spotify.com/artist/2xDc4cU0Rj6YG8SrmAHIy0",NA,63779,"short",1,14,"Eve"
"dance pop, escape room, minnesota hip hop, pop, trap queen","https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS","56oDRnqbIiwx4mymNEv7dS","Lizzo",76,"artist","spotify:artist:56oDRnqbIiwx4mymNEv7dS","https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS",NA,4404939,"short",1,15,"Eve"
"dance pop, pop, pop rap, r&b","https://api.spotify.com/v1/artists/0cGUm45nv7Z6M6qdXYQGTX","0cGUm45nv7Z6M6qdXYQGTX","Kehlani",81,"artist","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX",NA,5601510,"short",1,16,"Eve"
"chicago rap, conscious hip hop, hip hop, pop rap, rap","https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf","1anyVhU62p31KFi8MEzkbf","Chance the Rapper",80,"artist","spotify:artist:1anyVhU62p31KFi8MEzkbf","https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf",NA,5581851,"short",1,17,"Eve"
"alternative r&b, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",73,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD","https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD",NA,619041,"short",1,18,"Eve"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift",98,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,50300831,"short",1,19,"Eve"
"pop rap, rhode island rap, social media pop","https://api.spotify.com/v1/artists/0vRvGUQVUjytro0xpb26bs","0vRvGUQVUjytro0xpb26bs","Arizona Zervas",73,"artist","spotify:artist:0vRvGUQVUjytro0xpb26bs","https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs",NA,661350,"short",1,20,"Eve"
"pop, pop rap, rap, social media pop","https://api.spotify.com/v1/artists/4qBgvVog0wzW75IQ48mU7v","4qBgvVog0wzW75IQ48mU7v","KYLE",72,"artist","spotify:artist:4qBgvVog0wzW75IQ48mU7v","https://open.spotify.com/artist/4qBgvVog0wzW75IQ48mU7v",NA,1009357,"short",1,21,"Eve"
"pop, pop r&b","https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny","6LuN9FCkKOj5PcnpouEgny","Khalid",89,"artist","spotify:artist:6LuN9FCkKOj5PcnpouEgny","https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny",NA,15009412,"short",1,22,"Eve"
"dance pop, electropop, pop","https://api.spotify.com/v1/artists/4GvEc3ANtPPjt1ZJllr5Zl","4GvEc3ANtPPjt1ZJllr5Zl","Bazzi",78,"artist","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl","https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl",NA,4878124,"short",1,23,"Eve"
"alt z, australian alternative pop, dance pop, electropop, pop","https://api.spotify.com/v1/artists/5xkAtLTf309LAGZTbvULBn","5xkAtLTf309LAGZTbvULBn","Ruel",73,"artist","spotify:artist:5xkAtLTf309LAGZTbvULBn","https://open.spotify.com/artist/5xkAtLTf309LAGZTbvULBn",NA,1663586,"short",1,24,"Eve"
"alt z, dance pop, electropop, indie poptimism, modern rock, pop, post-teen pop, talent show","https://api.spotify.com/v1/artists/1o2NpYGqHiCq7FoiYdyd1x","1o2NpYGqHiCq7FoiYdyd1x","Bea Miller",76,"artist","spotify:artist:1o2NpYGqHiCq7FoiYdyd1x","https://open.spotify.com/artist/1o2NpYGqHiCq7FoiYdyd1x",NA,2618057,"short",1,25,"Eve"
"alternative r&b, dance pop, pop, r&b","https://api.spotify.com/v1/artists/3Y7RZ31TRPVadSFVy1o8os","3Y7RZ31TRPVadSFVy1o8os","H.E.R.",81,"artist","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os",NA,4914314,"short",1,26,"Eve"
"alternative r&b, canadian contemporary r&b, r&b","https://api.spotify.com/v1/artists/5aMIbwZQvP2MHPMVC5zCGj","5aMIbwZQvP2MHPMVC5zCGj","ODIE",66,"artist","spotify:artist:5aMIbwZQvP2MHPMVC5zCGj","https://open.spotify.com/artist/5aMIbwZQvP2MHPMVC5zCGj",NA,210802,"short",1,27,"Eve"
"electropop, pop","https://api.spotify.com/v1/artists/3gIRvgZssIb9aiirIg0nI3","3gIRvgZssIb9aiirIg0nI3","Jeremy Zucker",79,"artist","spotify:artist:3gIRvgZssIb9aiirIg0nI3","https://open.spotify.com/artist/3gIRvgZssIb9aiirIg0nI3",NA,1927546,"short",1,28,"Eve"
"afrofuturism, dance pop, electropop, pop, post-teen pop","https://api.spotify.com/v1/artists/3rWZHrfrsPBxVy692yAIxF","3rWZHrfrsPBxVy692yAIxF","WILLOW",82,"artist","spotify:artist:3rWZHrfrsPBxVy692yAIxF","https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF",NA,2000293,"short",1,29,"Eve"
"indie pop rap, pop rap, rhode island rap","https://api.spotify.com/v1/artists/5G9kmDLg3OeUyj8KVBLzbu","5G9kmDLg3OeUyj8KVBLzbu","mike.",74,"artist","spotify:artist:5G9kmDLg3OeUyj8KVBLzbu","https://open.spotify.com/artist/5G9kmDLg3OeUyj8KVBLzbu",NA,483378,"short",1,30,"Eve"
"alternative r&b, dance pop, pop, r&b, urban contemporary","https://api.spotify.com/v1/artists/5ZS223C6JyBfXasXxrRqOk","5ZS223C6JyBfXasXxrRqOk","Jhené Aiko",82,"artist","spotify:artist:5ZS223C6JyBfXasXxrRqOk","https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk",NA,5306475,"short",1,31,"Eve"
"modern rock","https://api.spotify.com/v1/artists/6s22t5Y3prQHyaHWUN1R1C","6s22t5Y3prQHyaHWUN1R1C","AJR",78,"artist","spotify:artist:6s22t5Y3prQHyaHWUN1R1C","https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C",NA,2142242,"short",1,32,"Eve"
"bedroom soul, pop","https://api.spotify.com/v1/artists/4ETSs924pXMzjIeD6E9b4u","4ETSs924pXMzjIeD6E9b4u","Surfaces",76,"artist","spotify:artist:4ETSs924pXMzjIeD6E9b4u","https://open.spotify.com/artist/4ETSs924pXMzjIeD6E9b4u",NA,810966,"short",1,33,"Eve"
"melodic rap, pop rap","https://api.spotify.com/v1/artists/6ASri4ePR7RlsvIQgWPJpS","6ASri4ePR7RlsvIQgWPJpS","iann dior",84,"artist","spotify:artist:6ASri4ePR7RlsvIQgWPJpS","https://open.spotify.com/artist/6ASri4ePR7RlsvIQgWPJpS",NA,1526257,"short",1,34,"Eve"
"indie pop, lo-fi chill, lo-fi rap","https://api.spotify.com/v1/artists/0lawSNBxNgJFQYJnQzLH8c","0lawSNBxNgJFQYJnQzLH8c","khai dreams",69,"artist","spotify:artist:0lawSNBxNgJFQYJnQzLH8c","https://open.spotify.com/artist/0lawSNBxNgJFQYJnQzLH8c",NA,533238,"short",1,35,"Eve"
"hawaiian hip hop, rap","https://api.spotify.com/v1/artists/1z7b1Pr1rSlvWRzsW3HOrS","1z7b1Pr1rSlvWRzsW3HOrS","Russ",82,"artist","spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS","https://open.spotify.com/artist/1z7b1Pr1rSlvWRzsW3HOrS",NA,4326358,"short",1,36,"Eve"
