"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"brooklyn indie, indie pop","https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK","2uYWxilOVlUdk4oV9DvwqK","Mitski",85,"artist","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK",NA,2394219,"short",1,1,"Selah"
"ann arbor indie, funk rock, instrumental funk","https://api.spotify.com/v1/artists/7pXu47GoqSYRajmBCjxdD6","7pXu47GoqSYRajmBCjxdD6","Vulfpeck",63,"artist","spotify:artist:7pXu47GoqSYRajmBCjxdD6","https://open.spotify.com/artist/7pXu47GoqSYRajmBCjxdD6",NA,714290,"short",1,2,"Selah"
"bedroom pop, indie pop","https://api.spotify.com/v1/artists/3diDUq8QMCCtx8a4Jy42aO","3diDUq8QMCCtx8a4Jy42aO","Hana Vu",45,"artist","spotify:artist:3diDUq8QMCCtx8a4Jy42aO","https://open.spotify.com/artist/3diDUq8QMCCtx8a4Jy42aO",NA,24727,"short",1,3,"Selah"
"australian pop, dance pop, electropop, pop, viral pop","https://api.spotify.com/v1/artists/3WGpXCj9YhhfX11TToZcXP","3WGpXCj9YhhfX11TToZcXP","Troye Sivan",81,"artist","spotify:artist:3WGpXCj9YhhfX11TToZcXP","https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP",NA,6496656,"short",1,4,"Selah"
"chillhop, japanese chillhop, lo-fi beats","https://api.spotify.com/v1/artists/0Q2Tc5yZFJpumLMc7Yz4e4","0Q2Tc5yZFJpumLMc7Yz4e4","Tomppabeats",60,"artist","spotify:artist:0Q2Tc5yZFJpumLMc7Yz4e4","https://open.spotify.com/artist/0Q2Tc5yZFJpumLMc7Yz4e4",NA,209344,"short",1,5,"Selah"
"hip hop, rap","https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",89,"artist","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF",NA,8145187,"short",1,6,"Selah"
"baltimore indie, dream pop, dreamo, modern dream pop","https://api.spotify.com/v1/artists/56ZTgzPBDge0OvCGgMO3OY","56ZTgzPBDge0OvCGgMO3OY","Beach House",78,"artist","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY",NA,1446028,"short",1,7,"Selah"
"alternative rock, art pop, art rock, dream pop, ethereal wave, melancholia, new wave, scottish indie, shoegaze","https://api.spotify.com/v1/artists/5Wabl1lPdNOeIn0SQ5A1mp","5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins",65,"artist","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","https://open.spotify.com/artist/5Wabl1lPdNOeIn0SQ5A1mp",NA,535111,"short",1,8,"Selah"
"art pop, pop","https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa","00FQb4jTyendYWaN8pK0wa","Lana Del Rey",88,"artist","spotify:artist:00FQb4jTyendYWaN8pK0wa","https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa",NA,15546917,"mid",2,1,"Selah"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16353815,"mid",2,2,"Selah"
