"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"alternative r&b, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",73,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD","https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD",NA,619041,"short",1,1,"cindy"
"pittsburgh rap, pop","https://api.spotify.com/v1/artists/5nvWOyAkfNgVLKESq4fOj2","5nvWOyAkfNgVLKESq4fOj2","Montell Fish",73,"artist","spotify:artist:5nvWOyAkfNgVLKESq4fOj2","https://open.spotify.com/artist/5nvWOyAkfNgVLKESq4fOj2",NA,334910,"short",1,2,"cindy"
"dance pop, pop, pop rap, rap","https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB","4kYSro6naA4h99UJvo89HB","Cardi B",85,"artist","spotify:artist:4kYSro6naA4h99UJvo89HB","https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",NA,19416479,"short",1,3,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16537929,"short",1,4,"cindy"
"latin, salsa, salsa colombiana, tropical","https://api.spotify.com/v1/artists/1zng9JZpblpk48IPceRWs8","1zng9JZpblpk48IPceRWs8","Grupo Niche",71,"artist","spotify:artist:1zng9JZpblpk48IPceRWs8","https://open.spotify.com/artist/1zng9JZpblpk48IPceRWs8",NA,2022366,"short",1,5,"cindy"
"pop, r&b","https://api.spotify.com/v1/artists/57LYzLEk2LcFghVwuWbcuS","57LYzLEk2LcFghVwuWbcuS","Summer Walker",82,"artist","spotify:artist:57LYzLEk2LcFghVwuWbcuS","https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS",NA,3319457,"mid",2,1,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16537929,"mid",2,2,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",92,"artist","spotify:artist:0du5cEVh5yTK9QJze8zA0C","https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",NA,38723111,"mid",2,3,"cindy"
"melodic rap, rap, trap","https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I","31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie",86,"artist","spotify:artist:31W5EY0aAly4Qieq6OFu6I","https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I",NA,6343257,"mid",2,4,"cindy"
"british soul, pop, pop soul, uk pop","https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY","4dpARuHxo51G3z768sgnrY","Adele",92,"artist","spotify:artist:4dpARuHxo51G3z768sgnrY","https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY",NA,35290948,"mid",2,5,"cindy"
"alternative r&b, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",73,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD","https://open.spotify.com/artist/1ybINI1qPiFbwDXamRtwxD",NA,619041,"mid",2,6,"cindy"
"dance pop, pop, pop rap, rap","https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB","4kYSro6naA4h99UJvo89HB","Cardi B",85,"artist","spotify:artist:4kYSro6naA4h99UJvo89HB","https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",NA,19416479,"mid",2,7,"cindy"
"pittsburgh rap, pop","https://api.spotify.com/v1/artists/5nvWOyAkfNgVLKESq4fOj2","5nvWOyAkfNgVLKESq4fOj2","Montell Fish",73,"artist","spotify:artist:5nvWOyAkfNgVLKESq4fOj2","https://open.spotify.com/artist/5nvWOyAkfNgVLKESq4fOj2",NA,334910,"mid",2,8,"cindy"
"conscious hip hop, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/2P5sC9cVZDToPxyomzF1UH","2P5sC9cVZDToPxyomzF1UH","Joey Bada$$",78,"artist","spotify:artist:2P5sC9cVZDToPxyomzF1UH","https://open.spotify.com/artist/2P5sC9cVZDToPxyomzF1UH",NA,2501761,"mid",2,9,"cindy"
"dance pop, escape room, minnesota hip hop, pop, trap queen","https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS","56oDRnqbIiwx4mymNEv7dS","Lizzo",76,"artist","spotify:artist:56oDRnqbIiwx4mymNEv7dS","https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS",NA,4404939,"mid",2,10,"cindy"
"dance pop, pop, urban contemporary","https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ","4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey",80,"artist","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ",NA,7561164,"mid",2,11,"cindy"
"latin, salsa, salsa colombiana, tropical","https://api.spotify.com/v1/artists/1zng9JZpblpk48IPceRWs8","1zng9JZpblpk48IPceRWs8","Grupo Niche",71,"artist","spotify:artist:1zng9JZpblpk48IPceRWs8","https://open.spotify.com/artist/1zng9JZpblpk48IPceRWs8",NA,2022366,"mid",2,12,"cindy"
"","https://api.spotify.com/v1/artists/3T8Is0eQTVrDD5bzS1QLUh","3T8Is0eQTVrDD5bzS1QLUh","Los Niños Cantores De Navidad",36,"artist","spotify:artist:3T8Is0eQTVrDD5bzS1QLUh","https://open.spotify.com/artist/3T8Is0eQTVrDD5bzS1QLUh",NA,2031,"mid",2,13,"cindy"
"dance pop, europop, neo mellow, pop, pop rock, post-teen pop","https://api.spotify.com/v1/artists/7o95ZoZt5ZYn31e9z1Hc0a","7o95ZoZt5ZYn31e9z1Hc0a","Natasha Bedingfield",69,"artist","spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a","https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a",NA,1387337,"mid",2,14,"cindy"
