"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"dance pop, pop","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,76836410,"short",1,1,"claudia"
"europop, swedish pop","https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV","0LcJLqbBmaGUft1e9Mm8HV","ABBA",82,"artist","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV",NA,7575257,"short",1,2,"claudia"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16353815,"short",1,3,"claudia"
"indie poptimism, pop","https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7","2feDdbD5araYcm6JhFHHw7","Labrinth",89,"artist","spotify:artist:2feDdbD5araYcm6JhFHHw7","https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7",NA,2130950,"short",1,4,"claudia"
"australian psych, neo-psychedelic","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","5INjqkS1o8h1imAzPqGZBb","Tame Impala",83,"artist","spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb",NA,5487615,"short",1,5,"claudia"
"big room, dance pop, edm, pop, pop dance, pop rap","https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai","1Cs0zKBU1kc0i8ypK3B9ai","David Guetta",90,"artist","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai",NA,23930324,"short",1,6,"claudia"
"noise pop","https://api.spotify.com/v1/artists/3XxNRirzbjfLdDli06zMaB","3XxNRirzbjfLdDli06zMaB","Eyedress",77,"artist","spotify:artist:3XxNRirzbjfLdDli06zMaB","https://open.spotify.com/artist/3XxNRirzbjfLdDli06zMaB",NA,638527,"short",1,7,"claudia"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift",98,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,50080165,"mid",2,1,"claudia"
"europop, swedish pop","https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV","0LcJLqbBmaGUft1e9Mm8HV","ABBA",82,"artist","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV",NA,7575257,"mid",2,2,"claudia"
"noise pop","https://api.spotify.com/v1/artists/3XxNRirzbjfLdDli06zMaB","3XxNRirzbjfLdDli06zMaB","Eyedress",77,"artist","spotify:artist:3XxNRirzbjfLdDli06zMaB","https://open.spotify.com/artist/3XxNRirzbjfLdDli06zMaB",NA,638527,"mid",2,3,"claudia"
"indie poptimism, pop","https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7","2feDdbD5araYcm6JhFHHw7","Labrinth",89,"artist","spotify:artist:2feDdbD5araYcm6JhFHHw7","https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7",NA,2130950,"mid",2,4,"claudia"
