"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"bedroom pop, indie pop","https://api.spotify.com/v1/artists/0SwK6bwzmGkViNoxSbJ5Mk","0SwK6bwzmGkViNoxSbJ5Mk","LAUNDRY DAY",52,"artist","spotify:artist:0SwK6bwzmGkViNoxSbJ5Mk","https://open.spotify.com/artist/0SwK6bwzmGkViNoxSbJ5Mk",NA,44524,"short",1,1,"desu"
"dance pop, pop, post-teen pop","https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X","6jJ0s89eD6GaHleKKya26X","Katy Perry",88,"artist","spotify:artist:6jJ0s89eD6GaHleKKya26X","https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X",NA,20804154,"short",1,2,"desu"
"adult standards, mellow gold, soft rock","https://api.spotify.com/v1/artists/7jmTilWYlKOuavFfmQAcu6","7jmTilWYlKOuavFfmQAcu6","Barbra Streisand",68,"artist","spotify:artist:7jmTilWYlKOuavFfmQAcu6","https://open.spotify.com/artist/7jmTilWYlKOuavFfmQAcu6",NA,1123682,"short",1,3,"desu"
"modern indie pop","https://api.spotify.com/v1/artists/1AaSeUFzwt47HhkGtWE1xn","1AaSeUFzwt47HhkGtWE1xn","Eddie Benjamin",51,"artist","spotify:artist:1AaSeUFzwt47HhkGtWE1xn","https://open.spotify.com/artist/1AaSeUFzwt47HhkGtWE1xn",NA,21319,"short",1,4,"desu"
"british soul, pop, pop soul, uk pop","https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY","4dpARuHxo51G3z768sgnrY","Adele",92,"artist","spotify:artist:4dpARuHxo51G3z768sgnrY","https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY",NA,35074052,"short",1,5,"desu"
"alt z, dance pop, electropop, indie poptimism, modern rock, pop, post-teen pop, talent show","https://api.spotify.com/v1/artists/1o2NpYGqHiCq7FoiYdyd1x","1o2NpYGqHiCq7FoiYdyd1x","Bea Miller",75,"artist","spotify:artist:1o2NpYGqHiCq7FoiYdyd1x","https://open.spotify.com/artist/1o2NpYGqHiCq7FoiYdyd1x",NA,2612904,"short",1,6,"desu"
"alt z, electropop, la indie, pop","https://api.spotify.com/v1/artists/37M5pPGs6V1fchFJSgCguX","37M5pPGs6V1fchFJSgCguX","FINNEAS",75,"artist","spotify:artist:37M5pPGs6V1fchFJSgCguX","https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX",NA,1562651,"short",1,7,"desu"
"alternative r&b, dance pop, pop, post-teen pop, r&b, urban contemporary","https://api.spotify.com/v1/artists/0AsThoR4KZSVktALiNcQwW","0AsThoR4KZSVktALiNcQwW","Chloe x Halle",66,"artist","spotify:artist:0AsThoR4KZSVktALiNcQwW","https://open.spotify.com/artist/0AsThoR4KZSVktALiNcQwW",NA,1571762,"short",1,8,"desu"
"alternative r&b, chill r&b, indie r&b, modern indie pop","https://api.spotify.com/v1/artists/6u6AbTVrbabv27DLcSrF8i","6u6AbTVrbabv27DLcSrF8i","Dreamer Isioma",63,"artist","spotify:artist:6u6AbTVrbabv27DLcSrF8i","https://open.spotify.com/artist/6u6AbTVrbabv27DLcSrF8i",NA,79238,"short",1,9,"desu"
"alt z, dance pop, electropop, pop, post-teen pop","https://api.spotify.com/v1/artists/0ZED1XzwlLHW4ZaG4lOT6m","0ZED1XzwlLHW4ZaG4lOT6m","Julia Michaels",80,"artist","spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","https://open.spotify.com/artist/0ZED1XzwlLHW4ZaG4lOT6m",NA,4304330,"short",1,10,"desu"
"","https://api.spotify.com/v1/artists/2JymsYVZ5c5prv9mOdPB3p","2JymsYVZ5c5prv9mOdPB3p","Barlow & Bear",56,"artist","spotify:artist:2JymsYVZ5c5prv9mOdPB3p","https://open.spotify.com/artist/2JymsYVZ5c5prv9mOdPB3p",NA,17238,"short",1,11,"desu"
"art pop, electropop, pop","https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",92,"artist","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH",NA,58294124,"short",1,12,"desu"
"dance pop, pop, post-teen pop","https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx","0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez",86,"artist","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",NA,33589068,"short",1,13,"desu"
"canadian contemporary r&b, canadian pop, pop","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",98,"artist","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ",NA,42485059,"short",1,14,"desu"
"pop, pop rap, social media pop, trap queen, viral rap","https://api.spotify.com/v1/artists/7DuTB6wdzqFJGFLSH17k8e","7DuTB6wdzqFJGFLSH17k8e","Bhad Bhabie",65,"artist","spotify:artist:7DuTB6wdzqFJGFLSH17k8e","https://open.spotify.com/artist/7DuTB6wdzqFJGFLSH17k8e",NA,2945391,"short",1,15,"desu"
"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",90,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,14511420,"short",1,16,"desu"
"broadway, hollywood, indie pop, show tunes","https://api.spotify.com/v1/artists/5yCkSShz4MTqE4Lp6fVZMz","5yCkSShz4MTqE4Lp6fVZMz","Barrett Wilbert Weed",68,"artist","spotify:artist:5yCkSShz4MTqE4Lp6fVZMz","https://open.spotify.com/artist/5yCkSShz4MTqE4Lp6fVZMz",NA,52307,"short",1,17,"desu"
