"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"pluggnb","https://api.spotify.com/v1/artists/3qiHUAX7zY4Qnjx8TNUzVx","3qiHUAX7zY4Qnjx8TNUzVx","Yeat",84,"artist","spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx","https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx",NA,390381,"short",1,1,"lord"
"atl hip hop, plugg, pluggnb, rap, trap","https://api.spotify.com/v1/artists/699OTQXzgjhIYAHMy9RyPD","699OTQXzgjhIYAHMy9RyPD","Playboi Carti",88,"artist","spotify:artist:699OTQXzgjhIYAHMy9RyPD","https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD",NA,6164198,"short",1,2,"lord"
"glitchcore, plugg, pluggnb, vapor trap","https://api.spotify.com/v1/artists/2SJhf6rTOU53g8yBdAjPby","2SJhf6rTOU53g8yBdAjPby","SoFaygo",71,"artist","spotify:artist:2SJhf6rTOU53g8yBdAjPby","https://open.spotify.com/artist/2SJhf6rTOU53g8yBdAjPby",NA,350147,"short",1,3,"lord"
"uk alternative hip hop, underground hip hop, vapor trap","https://api.spotify.com/v1/artists/2LakckgvXEtJlKOYP6BO11","2LakckgvXEtJlKOYP6BO11","Lancey Foux",57,"artist","spotify:artist:2LakckgvXEtJlKOYP6BO11","https://open.spotify.com/artist/2LakckgvXEtJlKOYP6BO11",NA,122639,"short",1,4,"lord"
"art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5","25uiPmTg16RbhZWAqwLBy5","Charli XCX",81,"artist","spotify:artist:25uiPmTg16RbhZWAqwLBy5","https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5",NA,2563908,"short",1,5,"lord"
"pluggnb, vapor trap","https://api.spotify.com/v1/artists/3gBZUcNeVumkeeJ19CY2sX","3gBZUcNeVumkeeJ19CY2sX","Ken Car$on",64,"artist","spotify:artist:3gBZUcNeVumkeeJ19CY2sX","https://open.spotify.com/artist/3gBZUcNeVumkeeJ19CY2sX",NA,103206,"short",1,6,"lord"
"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i","1RyvyyTE3xzB2ZywiAwp0i","Future",92,"artist","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i",NA,11222992,"short",1,7,"lord"
"canadian contemporary r&b, canadian pop, pop","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",98,"artist","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ",NA,42485059,"short",1,8,"lord"
"baton rouge rap, trap","https://api.spotify.com/v1/artists/7wlFDEWiM5OoIAt8RSli8b","7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again",88,"artist","spotify:artist:7wlFDEWiM5OoIAt8RSli8b","https://open.spotify.com/artist/7wlFDEWiM5OoIAt8RSli8b",NA,8387098,"short",1,9,"lord"
"canadian hip hop, canadian pop, hip hop, rap, toronto rap","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4","Drake",98,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",NA,61578850,"short",1,10,"lord"
