"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"desi pop, punjabi pop","https://api.spotify.com/v1/artists/0j2LQCxHNcJdkuJRa8KEp5","0j2LQCxHNcJdkuJRa8KEp5","Pav Dharia",66,"artist","spotify:artist:0j2LQCxHNcJdkuJRa8KEp5","https://open.spotify.com/artist/0j2LQCxHNcJdkuJRa8KEp5",NA,1018303,"short",1,1,"shubham"
"hip hop, pittsburgh rap, rap","https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U","4LLpKhyESsyAXpc4laK94U","Mac Miller",88,"artist","spotify:artist:4LLpKhyESsyAXpc4laK94U","https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U",NA,7215715,"short",1,2,"shubham"
"pop, pop r&b","https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny","6LuN9FCkKOj5PcnpouEgny","Khalid",90,"artist","spotify:artist:6LuN9FCkKOj5PcnpouEgny","https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny",NA,15043210,"short",1,3,"shubham"
"barbadian pop, dance pop, pop, pop rap, urban contemporary","https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H","5pKCCKE2ajJHZ9KAiaK11H","Rihanna",92,"artist","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H",NA,47719727,"short",1,4,"shubham"
"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",94,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,16830374,"short",1,5,"shubham"
"desi pop, indian indie","https://api.spotify.com/v1/artists/2k66ibJfgMigF5QWqUgLyR","2k66ibJfgMigF5QWqUgLyR","OAFF",70,"artist","spotify:artist:2k66ibJfgMigF5QWqUgLyR","https://open.spotify.com/artist/2k66ibJfgMigF5QWqUgLyR",NA,10268,"short",1,6,"shubham"
"australian hip hop","https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J","2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI",88,"artist","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J",NA,3473464,"short",1,7,"shubham"
"desi pop, filmi, modern bollywood","https://api.spotify.com/v1/artists/6Mv8GjQa7LKUGCAqa9qqdb","6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar",74,"artist","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb",NA,2143210,"short",1,8,"shubham"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift",98,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,50645515,"short",1,9,"shubham"
"dance pop, pop","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,77323664,"short",1,10,"shubham"
"desi pop, filmi, indian instrumental, modern bollywood","https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU","1wRPtKGflJrBx9BmLsSwlU","Pritam",84,"artist","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU",NA,3802475,"short",1,11,"shubham"
"dance pop, hip pop, pop, pop rap, queens hip hop","https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",90,"artist","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",NA,24482519,"short",1,12,"shubham"
"desi pop, filmi, modern bollywood","https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw","4YRxDV8wJFPHPTeXepOstw","Arijit Singh",87,"artist","spotify:artist:4YRxDV8wJFPHPTeXepOstw","https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw",NA,44194695,"short",1,13,"shubham"
"melodic rap, pop rap","https://api.spotify.com/v1/artists/6ASri4ePR7RlsvIQgWPJpS","6ASri4ePR7RlsvIQgWPJpS","iann dior",83,"artist","spotify:artist:6ASri4ePR7RlsvIQgWPJpS","https://open.spotify.com/artist/6ASri4ePR7RlsvIQgWPJpS",NA,1531416,"short",1,14,"shubham"
